"customer_id","frequency","monetary","segment"
"12346",2,0.00,"Low Value"
"12347",7,4310.00,"High Value"
"12348",4,1797.24,"High Value"
"12349",1,1757.55,"High Value"
"12350",1,334.40,"Low Value"
"12352",11,1545.41,"High Value"
"12353",1,89.00,"Low Value"
"12354",1,1079.40,"High Value"
"12355",1,459.40,"Low Value"
"12356",3,2811.43,"High Value"
"12357",1,6207.67,"High Value"
"12358",2,1168.06,"High Value"
"12359",6,6245.53,"High Value"
"12360",3,2662.06,"High Value"
"12361",1,189.90,"Low Value"
"12362",13,5154.58,"High Value"
"12363",2,552.00,"Mid Value"
"12364",4,1313.10,"High Value"
"12365",3,320.69,"Low Value"
"12367",1,168.90,"Low Value"
"12370",4,3545.69,"High Value"
"12371",2,1887.96,"High Value"
"12372",3,1298.04,"High Value"
"12373",1,364.60,"Low Value"
"12374",1,742.93,"Mid Value"
"12375",3,455.42,"Low Value"
"12377",2,1628.12,"High Value"
"12378",1,4008.62,"High Value"
"12379",3,850.29,"Mid Value"
"12380",5,2720.56,"High Value"
"12381",6,1803.96,"High Value"
"12383",6,1839.31,"High Value"
"12384",3,566.16,"Mid Value"
"12386",2,401.90,"Low Value"
"12388",6,2780.66,"High Value"
"12390",1,549.84,"Mid Value"
"12391",1,460.89,"Low Value"
"12393",4,1582.60,"High Value"
"12394",2,1272.48,"High Value"
"12395",15,2998.28,"High Value"
"12397",2,2409.90,"High Value"
"12398",1,1635.66,"High Value"
"12399",4,1108.65,"High Value"
"12401",1,84.30,"Low Value"
"12402",1,225.60,"Low Value"
"12403",2,409.70,"Low Value"
"12405",1,1710.39,"High Value"
"12406",3,3280.75,"High Value"
"12407",5,1708.12,"High Value"
"12408",9,2842.57,"High Value"
"12409",7,11056.93,"High Value"
"12410",3,681.08,"Mid Value"
"12412",3,1226.88,"High Value"
"12413",5,694.15,"Mid Value"
"12414",3,562.41,"Mid Value"
"12415",26,123725.45,"High Value"
"12417",12,3578.80,"High Value"
"12418",1,668.58,"Mid Value"
"12420",1,600.39,"Mid Value"
"12421",5,806.27,"Mid Value"
"12422",3,803.56,"Mid Value"
"12423",9,1849.11,"High Value"
"12424",2,1760.96,"High Value"
"12425",1,777.20,"Mid Value"
"12426",1,582.73,"Mid Value"
"12427",5,708.37,"Mid Value"
"12428",12,7877.20,"High Value"
"12429",4,3750.40,"High Value"
"12430",1,256.40,"Low Value"
"12431",18,6416.39,"High Value"
"12432",5,5059.32,"High Value"
"12433",7,13375.87,"High Value"
"12434",4,765.19,"Mid Value"
"12435",2,7829.89,"High Value"
"12436",1,509.01,"Mid Value"
"12437",19,4896.66,"High Value"
"12438",2,2906.85,"High Value"
"12441",1,173.55,"Low Value"
"12442",1,172.06,"Low Value"
"12444",5,5005.46,"High Value"
"12445",1,133.40,"Low Value"
"12446",1,1002.31,"High Value"
"12447",1,476.49,"Low Value"
"12448",1,449.45,"Low Value"
"12449",4,4067.29,"High Value"
"12450",2,197.88,"Low Value"
"12451",6,8933.52,"High Value"
"12452",3,428.57,"Low Value"
"12453",1,707.09,"Mid Value"
"12454",2,0.00,"Low Value"
"12455",6,2466.86,"High Value"
"12456",4,3153.89,"High Value"
"12457",12,1917.78,"High Value"
"12458",2,947.40,"Mid Value"
"12461",2,826.88,"Mid Value"
"12462",4,1124.01,"High Value"
"12463",7,1303.63,"High Value"
"12464",8,1212.05,"High Value"
"12465",3,733.89,"Mid Value"
"12468",3,724.04,"Mid Value"
"12471",49,18740.92,"High Value"
"12472",13,6229.48,"High Value"
"12473",9,2848.23,"High Value"
"12474",30,7116.47,"High Value"
"12475",1,723.38,"Mid Value"
"12476",20,6546.58,"High Value"
"12477",9,13117.01,"High Value"
"12478",1,680.99,"Mid Value"
"12479",3,477.30,"Low Value"
"12480",4,3281.63,"High Value"
"12481",11,5590.86,"High Value"
"12483",13,2327.13,"High Value"
"12484",8,4495.27,"High Value"
"12488",3,1298.66,"High Value"
"12489",1,334.93,"Low Value"
"12490",10,5417.93,"High Value"
"12491",1,460.40,"Low Value"
"12492",2,263.21,"Low Value"
"12493",3,416.79,"Low Value"
"12494",13,1139.35,"High Value"
"12497",1,1043.10,"High Value"
"12498",3,403.70,"Low Value"
"12500",13,4206.27,"High Value"
"12501",2,2089.68,"High Value"
"12502",5,3723.87,"High Value"
"12503",1,-1126,"Low Value"
"12504",4,114.00,"Low Value"
"12505",1,-4.5,"Low Value"
"12506",1,73.50,"Low Value"
"12507",4,1258.06,"High Value"
"12508",2,398.27,"Low Value"
"12509",1,176.50,"Low Value"
"12510",2,982.57,"Mid Value"
"12512",2,138.03,"Low Value"
"12513",2,586.79,"Mid Value"
"12514",1,1017.68,"High Value"
"12515",1,383.70,"Low Value"
"12516",2,1312.06,"High Value"
"12517",6,2464.89,"High Value"
"12518",5,2056.89,"High Value"
"12519",1,340.84,"Low Value"
"12520",6,2582.51,"High Value"
"12521",1,599.68,"Mid Value"
"12522",2,192.72,"Low Value"
