"year","month","orders","customers","revenue","aov"
2010,12,1400,885,572713.89,409.0813500000000000
2011,1,987,741,569445.04,576.9453292806484296
2011,2,998,758,447137.35,448.0334168336673347
2011,3,1321,974,595500.76,450.7954277062831188
2011,4,1149,856,469200.361,408.3554055700609225
2011,5,1555,1056,678594.56,436.3952154340836013
2011,6,1393,991,661213.69,474.6688370423546303
2011,7,1331,949,600091.011,450.8572584522915101
2011,8,1281,935,645343.90,503.7813427010148322
2011,9,1756,1266,952838.382,542.6186685649202733
2011,10,1929,1364,1039318.79,538.7863089683773976
2011,11,2658,1665,1161817.38,437.1020993227990971
2011,12,778,615,518192.79,666.0575706940874036
