"year","month","orders","customers","revenue","aov","orders_mom_abs","customers_mom_abs","revenue_mom_abs","aov_mom_abs","orders_mom_pct","customers_mom_pct","revenue_mom_pct","aov_mom_pct","orders_qoq_pct","revenue_qoq_pct"
2010,12,1400,885,572713.89,409.0813500000000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2011,1,987,741,569445.04,576.9453292806484296,-413,-144,-3268.85,167.8639792806484296,-0.29500000000000000000,-0.16271186440677966102,-0.00570764924175315531,0.41034375994077566626,NULL,NULL
2011,2,998,758,447137.35,448.0334168336673347,11,17,-122307.69,-128.9119124469810949,0.01114488348530901722,0.02294197031039136302,-0.21478401146491678986,-0.22343869670929145447,NULL,NULL
2011,3,1321,974,595500.76,450.7954277062831188,323,216,148363.41,2.7620108726157841,0.32364729458917835671,0.28496042216358839050,0.33180723999012831292,0.00616474300541109467,-0.05642857142857142857,0.03978752811460535731
2011,4,1149,856,469200.361,408.3554055700609225,-172,-118,-126300.399,-42.4400221362221963,-0.13020439061317183952,-0.12114989733059548255,-0.21209107944715301455,-0.09414474843314981045,0.16413373860182370821,-0.17603925218138698688
2011,5,1555,1056,678594.56,436.3952154340836013,406,200,209394.199,28.0398098640226788,0.35335073977371627502,0.23364485981308411215,0.44627885314009807422,0.06866521045528790193,0.55811623246492985972,0.51764230834216823980
2011,6,1393,991,661213.69,474.6688370423546303,-162,-65,-17380.87,38.2736216082710290,-0.10418006430868167203,-0.06155303030303030303,-0.02561304057609893012,0.08770403582495776284,0.05450416351249053747,0.11034902793407014292
2011,7,1331,949,600091.011,450.8572584522915101,-62,-42,-61122.679,-23.8115785900631202,-0.04450825556353194544,-0.04238143289606458123,-0.09244012930222300751,-0.05016461316153016499,0.15839860748476936466,0.27896536507566753556
2011,8,1281,935,645343.90,503.7813427010148322,-50,-14,45252.889,52.9240842487233221,-0.03756574004507888805,-0.01475237091675447840,0.07541004309427991082,0.11738545461240168739,-0.17620578778135048232,-0.04899930232273008496
2011,9,1756,1266,952838.382,542.6186685649202733,475,331,307494.482,38.8373258639054411,0.37080405932864949258,0.35401069518716577540,0.47648158137080090166,0.07709163196810703571,0.26058865757358219670,0.44104454643097301872
2011,10,1929,1364,1039318.79,538.7863089683773976,173,98,86480.408,-3.8323595965428757,0.09851936218678815490,0.07740916271721958926,0.09076083587069438603,-0.00706271239557317678,0.44928625093914350113,0.73193527473118573343
2011,11,2658,1665,1161817.38,437.1020993227990971,729,301,122498.59,-101.6842096455783005,0.37791601866251944012,0.22067448680351906158,0.11786430802429733807,-0.18872827307040272183,1.0749414519906323,0.80030737100017525539
2011,12,778,615,518192.79,666.0575706940874036,-1880,-1050,-643624.59,228.9554713712883065,-0.70729872084273890143,-0.63063063063063063063,-0.55398085885063967626,0.52380318402956264833,-0.55694760820045558087,-0.45615877803713410865
