"invoice_no","stock_code","quantity","unit_price","revenue"
"536365","85123A",6,2.55,15.30
"536365","71053",6,3.39,20.34
"536365","84406B",8,2.75,22.00
"536365","84029G",6,3.39,20.34
"536365","84029E",6,3.39,20.34
"536365","22752",2,7.65,15.30
"536365","21730",6,4.25,25.50
"536366","22633",6,1.85,11.10
"536366","22632",6,1.85,11.10
"536367","84879",32,1.69,54.08
"536367","22745",6,2.1,12.6
"536367","22748",6,2.1,12.6
"536367","22749",8,3.75,30.00
"536367","22310",6,1.65,9.90
"536367","84969",6,4.25,25.50
"536367","22623",3,4.95,14.85
"536367","22622",2,9.95,19.90
"536367","21754",3,5.95,17.85
"536367","21755",3,5.95,17.85
"536367","21777",4,7.95,31.80
"536367","48187",4,7.95,31.80
"536368","22960",6,4.25,25.50
"536368","22913",3,4.95,14.85
"536368","22912",3,4.95,14.85
"536368","22914",3,4.95,14.85
"536369","21756",3,5.95,17.85
"536370","22728",24,3.75,90.00
"536370","22727",24,3.75,90.00
"536370","22726",12,3.75,45.00
"536370","21724",12,0.85,10.20
"536370","21883",24,0.65,15.60
"536370","10002",48,0.85,40.80
"536370","21791",24,1.25,30.00
"536370","21035",18,2.95,53.10
"536370","22326",24,2.95,70.80
"536370","22629",24,1.95,46.80
"536370","22659",24,1.95,46.80
"536370","22631",24,1.95,46.80
"536370","22661",20,0.85,17.00
"536370","21731",24,1.65,39.60
"536370","22900",24,2.95,70.80
"536370","21913",12,3.75,45.00
"536370","22540",24,0.42,10.08
"536370","22544",24,0.42,10.08
"536370","22492",36,0.65,23.40
"536370","POST",3,18,54
"536371","22086",80,2.55,204.00
"536372","22632",6,1.85,11.10
"536372","22633",6,1.85,11.10
"536373","85123A",6,2.55,15.30
"536373","71053",6,3.39,20.34
"536373","84406B",8,2.75,22.00
"536373","20679",6,4.95,29.70
"536373","37370",6,1.06,6.36
"536373","21871",6,1.06,6.36
"536373","21071",6,1.06,6.36
"536373","21068",6,1.06,6.36
"536373","82483",2,4.95,9.90
"536373","82486",4,6.95,27.80
"536373","82482",6,2.1,12.6
"536373","82494L",6,2.55,15.30
"536373","84029G",6,3.39,20.34
"536373","84029E",6,3.39,20.34
"536373","22752",2,7.65,15.30
"536373","21730",6,4.25,25.50
"536374","21258",32,10.95,350.40
"536375","85123A",6,2.55,15.30
"536375","71053",6,3.39,20.34
"536375","84406B",8,2.75,22.00
"536375","20679",6,4.95,29.70
"536375","37370",6,1.06,6.36
"536375","21871",6,1.06,6.36
"536375","21071",6,1.06,6.36
"536375","21068",6,1.06,6.36
"536375","82483",2,4.95,9.90
"536375","82486",4,6.95,27.80
"536375","82482",6,2.1,12.6
"536375","82494L",6,2.55,15.30
"536375","84029G",6,3.39,20.34
"536375","84029E",6,3.39,20.34
"536375","22752",2,7.65,15.30
"536375","21730",6,4.25,25.50
"536376","22114",48,3.45,165.60
"536376","21733",64,2.55,163.20
"536377","22632",6,1.85,11.10
"536377","22633",6,1.85,11.10
"536378","22386",10,1.95,19.50
"536378","85099C",10,1.95,19.50
"536378","21033",10,2.95,29.50
"536378","20723",10,0.85,8.50
"536378","84997B",12,3.75,45.00
"536378","84997C",6,3.75,22.50
"536378","21094",12,0.85,10.20
"536378","20725",10,1.65,16.50
"536378","21559",6,2.55,15.30
"536378","22352",6,2.55,15.30
"536378","21212",120,0.42,50.40
"536378","21975",24,0.55,13.20
"536378","21977",24,0.55,13.20
"536378","84991",24,0.55,13.20
"536378","84519A",6,2.95,17.70
"536378","85183B",48,1.25,60.00
"536378","85071B",96,0.38,36.48
"536378","21931",10,1.95,19.50
"536378","21929",10,1.95,19.50
"536380","22961",24,1.45,34.80
"536381","22139",23,4.25,97.75
"536381","84854",5,4.95,24.75
"536381","22411",10,1.95,19.50
"536381","82567",2,2.1,4.2
"536381","21672",6,1.25,7.50
"536381","22774",24,1.25,30.00
"536381","22771",24,1.25,30.00
"536381","71270",1,1.25,1.25
"536381","22262",1,0.85,0.85
"536381","22637",1,2.55,2.55
"536381","21934",10,1.65,16.50
"536381","21169",3,1.69,5.07
"536381","21166",1,1.95,1.95
"536381","21175",2,2.1,4.2
"536381","37444A",1,2.95,2.95
"536381","37444C",1,2.95,2.95
"536381","22086",4,2.95,11.80
"536381","22083",1,2.95,2.95
"536381","84971S",6,0.85,5.10
"536381","71270",3,1.25,3.75
"536381","47580",2,2.55,5.10
"536381","22261",1,0.85,0.85
"536381","84832",1,0.85,0.85
"536381","22644",1,1.45,1.45
"536381","21533",1,4.95,4.95
"536381","21557",2,2.95,5.90
"536381","15056BL",2,5.95,11.90
"536381","15056N",2,5.95,11.90
"536381","22646",4,1.45,5.80
"536381","22176",1,2.95,2.95
"536381","22438",1,1.95,1.95
"536381","21731",2,1.65,3.30
"536381","22778",3,3.95,11.85
"536381","22719",36,1.06,38.16
"536381","21523",10,6.75,67.50
"C536379","D",-1,27.5,-27.5
"536382","10002",12,0.85,10.20
"536382","21912",8,3.75,30.00
"536382","21832",12,1.65,19.80
"536382","22411",10,1.95,19.50
"536382","22379",10,2.1,21.0
"536382","22381",50,1.85,92.50
