"customer_id","orders","revenue","avg_order_value"
"12346","1","77183.6000","77183.600000000000"
"12347","7","6563.0000","25.8385826771653543"
"12348","4","2290.4400","60.2747368421052632"
"12349","1","2565.9900","25.9190909090909091"
"12350","1","447.0000","20.3181818181818182"
"12352","8","3229.5400","28.3292982456140351"
"12353","1","89.0000","22.2500000000000000"
"12354","1","1457.7600","19.4368000000000000"
"12355","1","706.6000","30.7217391304347826"
"12356","3","4614.6800","56.2765853658536585"
"12357","1","7809.4500","48.5059006211180124"
"12358","2","1453.9600","60.5816666666666667"
"12359","4","10429.2300","28.2634959349593496"
"12360","3","3892.9500","22.1190340909090909"
"12361","1","221.4000","18.4500000000000000"
"12362","10","7356.2200","20.0989617486338798"
"12363","2","865.3800","27.0431250000000000"
"12364","4","1527.7400","15.7498969072164948"
"12365","2","814.9200","23.9682352941176471"
"12367","1","186.9000","15.5750000000000000"
"12370","4","11138.3800","23.1086721991701245"
"12371","2","3012.0200","30.7348979591836735"
"12372","3","1495.4400","23.7371428571428571"
"12373","1","560.6000","24.3739130434782609"
"12374","1","1225.7100","27.2380000000000000"
"12375","2","986.8000","25.3025641025641026"
"12377","2","2376.2200","23.7622000000000000"
"12378","1","5260.4400","18.3931468531468531"
"12379","2","1281.4600","22.4817543859649123"
"12380","4","4872.6200","29.0036904761904762"
"12381","5","2971.6000","22.8584615384615385"
"12383","5","2548.9800","19.6075384615384615"
"12384","2","959.3300","22.3100000000000000"
"12386","2","794.5000","46.7352941176470588"
"12388","6","3566.5500","27.6476744186046512"
"12390","1","746.3400","18.2034146341463415"
"12391","1","685.3400","5.1919696969696970"
"12393","4","2347.9500","25.8016483516483516"
"12394","2","3055.6000","47.7437500000000000"
"12395","12","4775.4500","20.4079059829059829"
"12397","2","3547.6500","20.9920118343195266"
"12398","1","2205.0800","20.4174074074074074"
"12399","4","1716.8400","19.5095454545454545"
"12401","1","176.2500","17.6250000000000000"
"12402","1","294.6000","21.0428571428571429"
"12403","1","928.5000","92.8500000000000000"
"12405","1","2561.4900","33.7038157894736842"
"12406","2","5629.8800","36.3218064516129032"
"12407","5","2265.9700","22.4353465346534653"
"12408","5","4655.6600","29.4662025316455696"
"12409","3","16310.2600","105.9107792207792208"
"12410","2","1043.9300","28.9980555555555556"
"12412","3","1743.1600","21.0019277108433735"
"12413","3","859.8000","20.9707317073170732"
"12414","3","982.1100","36.3744444444444444"
"12415","21","198377.4300","195.2533759842519685"
"12417","9","11506.3600","19.8385517241379310"
"12418","1","852.7200","19.3800000000000000"
"12420","1","860.2800","19.1173333333333333"
"12421","4","1127.8300","19.1157627118644068"
"12422","3","2702.3400","21.4471428571428571"
"12423","8","3150.3500","17.5997206703910615"
"12424","2","2505.7100","58.2723255813953488"
"12425","1","1054.6300","21.5230612244897959"
"12426","1","851.1400","20.7595121951219512"
"12427","3","1544.1300","27.0900000000000000"
"12428","9","12052.0400","27.6422935779816514"
"12429","4","11718.2400","40.6883333333333333"
"12430","1","307.8000","23.6769230769230769"
"12431","15","25539.5200","38.3476276276276276"
"12432","5","6683.5200","48.7848175182481752"
"12433","7","21131.9400","35.2786978297161937"
"12434","2","1099.9000","16.4164179104477612"
"12435","2","13752.8900","193.7026760563380282"
"12436","1","724.9100","34.5195238095238095"
"12437","18","7602.7300","26.8647703180212014"
"12438","2","4268.3600","31.6174814814814815"
"12441","1","259.0500","16.1906250000000000"
"12442","1","217.4600","15.5328571428571429"
"12444","5","8751.6000","30.7073684210526316"
"12445","1","206.8000","34.4666666666666667"
"12446","1","1587.1600","17.4413186813186813"
"12447","1","596.1900","19.8730000000000000"
"12448","1","635.1900","19.8496875000000000"
"12449","4","6034.8300","22.6873308270676692"
"12450","2","601.1400","28.6257142857142857"
"12451","5","11802.0500","25.0574309978768577"
"12452","2","679.0300","18.8619444444444444"
"12453","1","1049.8100","16.1509230769230769"
"12454","1","9204.6000","248.7729729729729730"
"12455","6","7764.2000","29.6343511450381679"
"12456","3","5694.0900","28.0497044334975369"
"12457","7","6191.2200","35.5817241379310345"
"12458","2","1309.7600","25.1876923076923077"
"12461","2","1151.8100","25.5957777777777778"
"12462","2","1807.5900","20.5407954545454545"
"12463","4","2036.3200","15.7854263565891473"
"12464","8","2336.1500","38.2975409836065574"
"12465","2","1109.5900","17.3373437500000000"
"12468","2","1004.2900","18.9488679245283019"
"12471","30","37949.6300","55.2396360989810771"
"12472","7","11479.8500","22.4215820312500000"
"12473","5","5398.2800","24.0994642857142857"
"12474","18","10752.7400","18.8644561403508772"
"12475","1","1015.9300","19.9201960784313725"
"12476","11","12073.7000","32.0257294429708223"
"12477","6","18557.1500","44.9325665859564165"
"12478","1","1130.2400","19.8287719298245614"
"12479","1","738.4100","18.0100000000000000"
"12480","4","4717.9900","21.9441395348837209"
"12481","10","9592.6800","28.8068468468468468"
"12483","8","5364.9000","40.9534351145038168"
"12484","6","6756.0000","13.7877551020408163"
"12488","3","2183.6800","26.3093975903614458"
"12489","1","716.1300","23.8710000000000000"
"12490","10","10381.8900","29.4940056818181818"
"12491","1","664.9000","18.9971428571428571"
"12492","2","427.3100","13.7841935483870968"
"12493","2","886.4400","20.1463636363636364"
"12494","7","2168.3000","16.9398437500000000"
"12497","1","1639.8000","86.3052631578947368"
"12498","3","528.8000","17.6266666666666667"
"12500","11","6195.1200","65.2117894736842105"
"12501","1","3077.1700","15.4631658291457286"
"12502","5","6575.6700","29.0958849557522124"
"12504","2","759.9500","54.2821428571428571"
"12506","1","108.9500","3.4046875000000000"
"12507","3","1819.9700","55.1506060606060606"
"12508","2","682.8600","6.3227777777777778"
"12509","1","302.0000","27.4545454545454545"
"12510","2","1620.4900","32.4098000000000000"
"12512","2","202.2800","3.6121428571428571"
"12513","1","706.2900","18.1100000000000000"
"12514","1","1269.5400","18.9483582089552239"
"12515","1","563.5500","26.8357142857142857"
"12516","2","2120.7400","55.8089473684210526"
"12517","5","3426.8100","9.2366846361185984"
"12518","5","3015.2200","18.0552095808383234"
"12519","1","458.0800","19.9165217391304348"
"12520","5","3857.1600","18.3674285714285714"
"12521","1","885.6200","15.5371929824561404"
"12522","2","339.8900","15.4495454545454545"
"12523","11","2923.8200","16.3341899441340782"
"12524","8","6014.2200","31.3240625000000000"
"12526","3","2171.6500","19.5644144144144144"
"12527","3","381.8300","18.1823809523809524"
"12528","6","3003.5300","21.9235766423357664"
"12530","4","2743.3600","25.1684403669724771"
"12531","1","172.9400","6.4051851851851852"
"12532","1","461.4300","21.9728571428571429"
"12534","1","1646.8100","17.5192553191489362"
"12535","2","930.0000","19.3750000000000000"
"12536","3","13991.3900","40.4375433526011561"
"12538","1","507.8000","17.5103448275862069"
"12539","4","8150.9000","21.4497368421052632"
"12540","17","20912.1200","30.9809185185185185"
"12541","3","1584.1100","21.1214666666666667"
"12544","1","561.3800","20.7918518518518519"
"12545","2","1425.4900","21.2759701492537313"
"12546","2","1556.7200","17.8933333333333333"
"12547","2","353.8000","27.2153846153846154"
"12548","1","158.0000","19.7500000000000000"
"12550","1","1318.5400","18.0621917808219178"
"12551","1","200.0000","16.6666666666666667"
"12552","2","618.8400","24.7536000000000000"
"12553","10","5967.1300","21.9379779411764706"
"12556","2","1130.9700","5.4901456310679612"
"12557","5","25865.1400","470.2752727272727273"
"12558","1","409.0400","24.0611764705882353"
"12559","2","690.4100","25.5707407407407407"
"12560","3","3237.8300","21.5855333333333333"
"12561","1","277.3000","15.4055555555555556"
"12562","7","7859.9600","29.9998473282442748"
"12564","1","527.4000","22.9304347826086957"
"12565","1","150.9600","15.0960000000000000"
"12566","1","505.3300","18.7159259259259259"
"12567","10","13180.8400","21.7865123966942149"
"12569","32","6272.3400","22.7258695652173913"
"12571","2","579.5100","15.2502631578947368"
"12572","2","1671.0000","18.5666666666666667"
"12573","1","348.3100","7.9161363636363636"
"12574","1","317.7500","21.1833333333333333"
"12576","5","2041.6700","15.8268992248062016"
"12577","3","850.3700","4.3608717948717949"
"12578","2","3964.4900","25.0917088607594937"
"12579","1","651.5400","16.2885000000000000"
"12580","1","528.8000","18.2344827586206897"
"12581","1","236.1700","13.1205555555555556"
"12582","2","887.1200","26.0917647058823529"
"12583","15","10320.7900","32.2524687500000000"
"12584","9","4097.2200","26.2642307692307692"
"12585","2","3311.0300","25.4694615384615385"
"12586","1","324.2900","19.0758823529411765"
"12587","1","392.0000","28.0000000000000000"
"12588","1","338.7500","24.1964285714285714"
"12589","2","984.2800","20.0873469387755102"
"12590","2","13330.1600","144.8930434782608696"
"12591","1","680.0500","18.3797297297297297"
"12592","2","567.2000","23.6333333333333333"
"12593","3","493.6000","21.4608695652173913"
"12594","10","5674.5800","32.4261714285714286"
"12596","2","992.2300","24.2007317073170732"
"12597","4","6279.5400","18.9714199395770393"
"12598","8","4470.1500","24.0330645161290323"
"12599","7","1303.6600","17.3821333333333333"
"12600","10","3259.3200","34.6736170212765957"
"12601","5","900.0500","20.4556818181818182"
"12602","1","188.9200","12.5946666666666667"
"12603","1","2091.6000","348.6000000000000000"
"12604","2","320.7800","16.0390000000000000"
"12607","1","2083.5200","15.6655639097744361"
"12609","3","1644.9100","19.1268604651162791"
"12610","5","3172.9900","20.7384967320261438"
"12611","1","1431.5000","17.4573170731707317"
"12612","1","740.0400","37.0020000000000000"
"12613","5","5374.8300","22.9693589743589744"
"12614","1","524.0500","15.8803030303030303"
"12615","4","4566.0900","30.6448993288590604"
"12616","2","825.3000","22.3054054054054054"
"12617","1","560.1900","8.7529687500000000"
"12618","1","252.5600","16.8373333333333333"
"12619","9","5280.3900","40.9332558139534884"
"12620","3","2118.3800","14.6095172413793103"
"12621","20","23042.7200","33.4437155297532656"
"12622","1","278.5000","15.4722222222222222"
"12623","1","360.9000","18.0450000000000000"
"12624","2","951.8300","17.3060000000000000"
"12625","2","4130.9800","35.3075213675213675"
"12626","9","9661.2700","23.3929055690072639"
"12627","7","6060.6100","19.8059150326797386"
"12628","3","1055.6900","19.5498148148148148"
"12630","2","1974.0900","21.9343333333333333"
"12631","1","1183.7200","21.9207407407407407"
"12633","4","2937.5700","21.2867391304347826"
"12635","2","2569.9300","17.1328666666666667"
"12637","8","7482.8600","14.9060956175298805"
"12638","1","1221.8700","19.7075806451612903"
