"month","revenue","orders","aov"
"2010-12-01",572713.89,1400,409.0813500000000000
"2011-01-01",569445.04,987,576.9453292806484296
"2011-02-01",447137.35,998,448.0334168336673347
"2011-03-01",595500.76,1321,450.7954277062831188
"2011-04-01",469200.361,1149,408.3554055700609225
"2011-05-01",678594.56,1555,436.3952154340836013
"2011-06-01",661213.69,1393,474.6688370423546303
"2011-07-01",600091.011,1331,450.8572584522915101
"2011-08-01",645343.90,1281,503.7813427010148322
"2011-09-01",952838.382,1756,542.6186685649202733
"2011-10-01",1039318.79,1929,538.7863089683773976
"2011-11-01",1161817.38,2658,437.1020993227990971
"2011-12-01",518192.79,778,666.0575706940874036
