"stock_code","year","month","orders","revenue","aov","customers","revenue_lag1","revenue_lag2","revenue_lag3","rolling_3m_avg","rolling_6m_avg"
"10002",2010,12,16,190.40,11.9000000000000000,15,NULL,NULL,NULL,190.4000000000000000,190.4000000000000000
"10002",2011,1,18,286.45,15.9138888888888889,18,190.40,NULL,NULL,238.4250000000000000,238.4250000000000000
"10002",2011,2,5,42.50,8.5000000000000000,5,286.45,190.40,NULL,173.1166666666666667,173.1166666666666667
"10002",2011,3,5,19.55,3.9100000000000000,5,42.50,286.45,190.40,116.1666666666666667,134.7250000000000000
"10002",2011,4,5,160.65,32.1300000000000000,5,19.55,42.50,286.45,74.2333333333333333,139.9100000000000000
"10080",2011,2,1,1.70,1.70000000000000000000,1,NULL,NULL,NULL,1.70000000000000000000,1.70000000000000000000
"10080",2011,6,1,18.72,18.7200000000000000,1,1.70,NULL,NULL,10.2100000000000000,10.2100000000000000
"10080",2011,7,2,9.36,4.6800000000000000,2,18.72,1.70,NULL,9.9266666666666667,9.9266666666666667
"10080",2011,8,4,23.40,5.8500000000000000,4,9.36,18.72,1.70,17.1600000000000000,13.2950000000000000
"10080",2011,9,4,23.40,5.8500000000000000,4,23.40,9.36,18.72,18.7200000000000000,15.3160000000000000
"10080",2011,10,3,2.34,0.78000000000000000000,3,23.40,23.40,9.36,16.3800000000000000,13.1533333333333333
"10080",2011,11,6,35.49,5.9150000000000000,6,2.34,23.40,23.40,20.4100000000000000,18.7850000000000000
"10120",2010,12,4,3.36,0.84000000000000000000,4,NULL,NULL,NULL,3.3600000000000000,3.3600000000000000
"10120",2011,2,1,6.30,6.3000000000000000,1,3.36,NULL,NULL,4.8300000000000000,4.8300000000000000
"10120",2011,3,4,6.09,1.5225000000000000,4,6.30,3.36,NULL,5.2500000000000000,5.2500000000000000
"10120",2011,5,2,0.63,0.31500000000000000000,2,6.09,6.30,3.36,4.3400000000000000,4.0950000000000000
"10120",2011,7,1,1.05,1.05000000000000000000,1,0.63,6.09,6.30,2.5900000000000000,3.4860000000000000
"10120",2011,8,2,7.35,3.6750000000000000,2,1.05,0.63,6.09,3.0100000000000000,4.1300000000000000
"10120",2011,9,4,2.10,0.52500000000000000000,4,7.35,1.05,0.63,3.5000000000000000,3.9200000000000000
"10120",2011,10,2,2.10,1.05000000000000000000,2,2.10,7.35,1.05,3.8500000000000000,3.2200000000000000
"10120",2011,11,8,10.29,1.2862500000000000,8,2.10,2.10,7.35,4.8300000000000000,3.9200000000000000
"10120",2011,12,1,1.26,1.26000000000000000000,1,10.29,2.10,2.10,4.5500000000000000,4.0250000000000000
"10123C",2010,12,1,0.65,0.65000000000000000000,1,NULL,NULL,NULL,0.65000000000000000000,0.65000000000000000000
"10123C",2011,3,2,2.60,1.30000000000000000000,2,0.65,NULL,NULL,1.6250000000000000,1.6250000000000000
"10124A",2010,12,1,1.68,1.68000000000000000000,1,NULL,NULL,NULL,1.68000000000000000000,1.68000000000000000000
"10124A",2011,2,1,1.26,1.26000000000000000000,1,1.68,NULL,NULL,1.47000000000000000000,1.47000000000000000000
"10124A",2011,3,2,2.10,1.05000000000000000000,2,1.26,1.68,NULL,1.6800000000000000,1.6800000000000000
"10124A",2011,11,1,1.68,1.68000000000000000000,1,2.10,1.26,1.68,1.6800000000000000,1.6800000000000000
"10124G",2010,12,1,2.10,2.1000000000000000,1,NULL,NULL,NULL,2.1000000000000000,2.1000000000000000
"10124G",2011,3,1,1.68,1.68000000000000000000,1,2.10,NULL,NULL,1.8900000000000000,1.8900000000000000
"10124G",2011,9,1,1.68,1.68000000000000000000,1,1.68,2.10,NULL,1.8200000000000000,1.8200000000000000
"10124G",2011,11,1,1.68,1.68000000000000000000,1,1.68,1.68,2.10,1.6800000000000000,1.7850000000000000
"10125",2010,12,7,78.55,11.2214285714285714,7,NULL,NULL,NULL,78.5500000000000000,78.5500000000000000
"10125",2011,1,7,67.20,9.6000000000000000,7,78.55,NULL,NULL,72.8750000000000000,72.8750000000000000
"10125",2011,3,9,95.20,10.5777777777777778,9,67.20,78.55,NULL,80.3166666666666667,80.3166666666666667
"10125",2011,4,6,69.70,11.6166666666666667,6,95.20,67.20,78.55,77.3666666666666667,77.6625000000000000
"10125",2011,5,6,90.95,15.1583333333333333,6,69.70,95.20,67.20,85.2833333333333333,80.3200000000000000
"10125",2011,6,2,11.05,5.5250000000000000,2,90.95,69.70,95.20,57.2333333333333333,68.7750000000000000
"10125",2011,7,8,149.60,18.7000000000000000,8,11.05,90.95,69.70,83.8666666666666667,80.6166666666666667
"10125",2011,8,4,72.25,18.0625000000000000,4,149.60,11.05,90.95,77.6333333333333333,81.4583333333333333
"10125",2011,9,4,178.50,44.6250000000000000,4,72.25,149.60,11.05,133.4500000000000000,95.3416666666666667
"10125",2011,10,4,42.50,10.6250000000000000,4,178.50,72.25,149.60,97.7500000000000000,90.8083333333333333
"10125",2011,11,2,52.70,26.3500000000000000,2,42.50,178.50,72.25,91.2333333333333333,84.4333333333333333
"10125",2011,12,2,22.10,11.0500000000000000,2,52.70,42.50,178.50,39.1000000000000000,86.2750000000000000
"10133",2010,12,13,78.75,6.0576923076923077,12,NULL,NULL,NULL,78.7500000000000000,78.7500000000000000
"10133",2011,1,4,42.10,10.5250000000000000,4,78.75,NULL,NULL,60.4250000000000000,60.4250000000000000
"10133",2011,2,5,31.45,6.2900000000000000,5,42.10,78.75,NULL,50.7666666666666667,50.7666666666666667
"10133",2011,3,7,70.55,10.0785714285714286,7,31.45,42.10,78.75,48.0333333333333333,55.7125000000000000
"10133",2011,4,2,63.75,31.8750000000000000,2,70.55,31.45,42.10,55.2500000000000000,57.3200000000000000
"10133",2011,5,4,28.05,7.0125000000000000,4,63.75,70.55,31.45,54.1166666666666667,52.4416666666666667
