"customer_id","total_orders","total_revenue","avg_order_revenue","last_purchase_date","max_purchase_date","recency_days","churn_label"
"12346",1,77183.60,77183.600000000000,"2011-01-18","2011-12-09",325,1
"12347",7,4310.00,23.6813186813186813,"2011-12-07","2011-12-09",2,0
"12348",4,1797.24,57.9754838709677419,"2011-09-25","2011-12-09",75,1
"12349",1,1757.55,24.0760273972602740,"2011-11-21","2011-12-09",18,0
"12350",1,334.40,19.6705882352941176,"2011-02-02","2011-12-09",310,1
"12352",8,2506.04,29.4828235294117647,"2011-11-03","2011-12-09",36,0
"12353",1,89.00,22.2500000000000000,"2011-05-19","2011-12-09",204,1
"12354",1,1079.40,18.6103448275862069,"2011-04-21","2011-12-09",232,1
"12355",1,459.40,35.3384615384615385,"2011-05-09","2011-12-09",214,1
"12356",3,2811.43,47.6513559322033898,"2011-11-17","2011-12-09",22,0
"12357",1,6207.67,47.3867938931297710,"2011-11-06","2011-12-09",33,0
"12358",2,1168.06,61.4768421052631579,"2011-12-08","2011-12-09",1,0
"12359",4,6372.58,25.6958870967741935,"2011-10-13","2011-12-09",57,0
"12360",3,2662.06,20.6361240310077519,"2011-10-18","2011-12-09",52,0
"12361",1,189.90,18.9900000000000000,"2011-02-25","2011-12-09",287,1
"12362",10,5226.23,19.6474812030075188,"2011-12-06","2011-12-09",3,0
"12363",2,552.00,24.0000000000000000,"2011-08-22","2011-12-09",109,1
"12364",4,1313.10,15.4482352941176471,"2011-12-02","2011-12-09",7,0
"12365",2,641.38,29.1536363636363636,"2011-02-21","2011-12-09",291,1
"12367",1,168.90,15.3545454545454545,"2011-12-05","2011-12-09",4,0
"12370",4,3545.69,21.2316766467065868,"2011-10-19","2011-12-09",51,0
"12371",2,1887.96,29.9676190476190476,"2011-10-26","2011-12-09",44,0
"12372",3,1298.04,24.9623076923076923,"2011-09-29","2011-12-09",71,1
"12373",1,364.60,26.0428571428571429,"2011-02-01","2011-12-09",311,1
"12374",1,742.93,22.5130303030303030,"2011-11-14","2011-12-09",25,0
"12375",2,457.50,26.9117647058823529,"2011-11-29","2011-12-09",10,0
"12377",2,1628.12,21.1444155844155844,"2011-01-28","2011-12-09",315,1
"12378",1,4008.62,18.3042009132420091,"2011-08-02","2011-12-09",129,1
"12379",2,852.24,21.3060000000000000,"2011-09-19","2011-12-09",81,1
"12380",4,2724.81,26.2000961538461538,"2011-11-18","2011-12-09",21,0
"12381",5,1845.31,21.2104597701149425,"2011-12-05","2011-12-09",4,0
"12383",5,1850.56,18.6925252525252525,"2011-06-08","2011-12-09",184,1
"12384",2,585.27,21.6766666666666667,"2011-11-11","2011-12-09",28,0
"12386",2,401.90,40.1900000000000000,"2011-01-06","2011-12-09",337,1
"12388",6,2780.66,27.8066000000000000,"2011-11-24","2011-12-09",15,0
"12390",1,549.84,17.1825000000000000,"2011-09-21","2011-12-09",79,1
"12391",1,460.89,4.6089000000000000,"2011-11-18","2011-12-09",21,0
"12393",4,1582.60,24.7281250000000000,"2011-09-28","2011-12-09",72,1
"12394",2,1272.48,47.1288888888888889,"2011-10-07","2011-12-09",63,1
"12395",12,3018.63,19.3501923076923077,"2011-11-20","2011-12-09",19,0
"12397",2,2409.90,19.1261904761904762,"2011-11-04","2011-12-09",35,0
"12398",1,1635.66,19.2430588235294118,"2011-10-25","2011-12-09",45,0
"12399",4,1108.65,18.7906779661016949,"2011-08-12","2011-12-09",119,1
"12401",1,84.30,16.8600000000000000,"2011-02-09","2011-12-09",303,1
"12402",1,225.60,20.5090909090909091,"2011-01-20","2011-12-09",323,1
"12403",1,427.70,85.5400000000000000,"2011-10-21","2011-12-09",49,0
"12405",1,1710.39,31.6738888888888889,"2011-07-14","2011-12-09",148,1
"12406",2,3415.30,32.5266666666666667,"2011-11-17","2011-12-09",22,0
"12407",5,1708.12,22.1833766233766234,"2011-10-21","2011-12-09",49,0
"12408",5,2888.55,27.5100000000000000,"2011-11-07","2011-12-09",32,0
