"invoice_no","customer_id","stock_code","quantity","unit_price","revenue","year","month","price_band","historical_return_rate","avg_product_revenue","avg_product_quantity","return_label"
"536370","12583","10002",48,0.85,40.80,2010,12,"low",0E-20,14.2765306122448980,16.7959183673469388,0
"536382","16098","10002",12,0.85,10.20,2010,12,"low",0E-20,14.2765306122448980,16.7959183673469388,0
"536863","17967","10002",1,0.85,0.85,2010,12,"low",0E-20,14.2765306122448980,16.7959183673469388,0
"537047","13069","10002",1,0.85,0.85,2010,12,"low",0E-20,14.2765306122448980,16.7959183673469388,0
"537227","17677","10002",24,0.85,20.40,2010,12,"low",0E-20,14.2765306122448980,16.7959183673469388,0
"537770","15529","10002",12,0.85,10.20,2010,12,"low",0E-20,14.2765306122448980,16.7959183673469388,0
"538069","16795","10002",8,0.85,6.80,2010,12,"low",0E-20,14.2765306122448980,16.7959183673469388,0
"538086","12872","10002",10,0.85,8.50,2010,12,"low",0E-20,14.2765306122448980,16.7959183673469388,0
"538093","12682","10002",12,0.85,10.20,2010,12,"low",0E-20,14.2765306122448980,16.7959183673469388,0
"538167","14713","10002",12,0.85,10.20,2010,12,"low",0E-20,14.2765306122448980,16.7959183673469388,0
"538196","12731","10002",36,0.85,30.60,2010,12,"low",0E-20,14.2765306122448980,16.7959183673469388,0
"538255","14911","10002",12,0.85,10.20,2010,12,"low",0E-20,14.2765306122448980,16.7959183673469388,0
"538593","16701","10002",24,0.85,20.40,2010,12,"low",0E-20,14.2765306122448980,16.7959183673469388,0
"538853","16805","10002",4,0.85,3.40,2010,12,"low",0E-20,14.2765306122448980,16.7959183673469388,0
"538890","12867","10002",3,0.85,2.55,2010,12,"low",0E-20,14.2765306122448980,16.7959183673469388,0
"539322","14713","10002",5,0.85,4.25,2010,12,"low",0E-20,14.2765306122448980,16.7959183673469388,0
"540239","12682","10002",12,0.85,10.20,2011,1,"low",0E-20,14.2765306122448980,16.7959183673469388,0
"540277","14258","10002",60,0.85,51.00,2011,1,"low",0E-20,14.2765306122448980,16.7959183673469388,0
"540732","16122","10002",12,0.85,10.20,2011,1,"low",0E-20,14.2765306122448980,16.7959183673469388,0
"540798","17365","10002",12,0.85,10.20,2011,1,"low",0E-20,14.2765306122448980,16.7959183673469388,0
"541094","13246","10002",11,0.85,9.35,2011,1,"low",0E-20,14.2765306122448980,16.7959183673469388,0
"541248","12748","10002",1,0.85,0.85,2011,1,"low",0E-20,14.2765306122448980,16.7959183673469388,0
"541262","18069","10002",6,0.85,5.10,2011,1,"low",0E-20,14.2765306122448980,16.7959183673469388,0
"541277","12673","10002",1,0.85,0.85,2011,1,"low",0E-20,14.2765306122448980,16.7959183673469388,0
"541491","12510","10002",24,0.85,20.40,2011,1,"low",0E-20,14.2765306122448980,16.7959183673469388,0
"541518","12451","10002",12,0.85,10.20,2011,1,"low",0E-20,14.2765306122448980,16.7959183673469388,0
"541615","16395","10002",6,0.85,5.10,2011,1,"low",0E-20,14.2765306122448980,16.7959183673469388,0
"541631","12637","10002",12,0.85,10.20,2011,1,"low",0E-20,14.2765306122448980,16.7959183673469388,0
"541698","14713","10002",18,0.85,15.30,2011,1,"low",0E-20,14.2765306122448980,16.7959183673469388,0
"541849","13230","10002",2,0.85,1.70,2011,1,"low",0E-20,14.2765306122448980,16.7959183673469388,0
"542096","17236","10002",2,0.85,1.70,2011,1,"low",0E-20,14.2765306122448980,16.7959183673469388,0
"542610","13148","10002",14,0.85,11.90,2011,1,"low",0E-20,14.2765306122448980,16.7959183673469388,0
"542629","12731","10002",120,0.85,102.00,2011,1,"low",0E-20,14.2765306122448980,16.7959183673469388,0
"542735","12681","10002",12,0.85,10.20,2011,1,"low",0E-20,14.2765306122448980,16.7959183673469388,0
"543179","12754","10002",1,0.85,0.85,2011,2,"low",0E-20,14.2765306122448980,16.7959183673469388,0
"543806","17085","10002",1,0.85,0.85,2011,2,"low",0E-20,14.2765306122448980,16.7959183673469388,0
"544278","15382","10002",12,0.85,10.20,2011,2,"low",0E-20,14.2765306122448980,16.7959183673469388,0
"544634","17994","10002",12,0.85,10.20,2011,2,"low",0E-20,14.2765306122448980,16.7959183673469388,0
"544935","13870","10002",24,0.85,20.40,2011,2,"low",0E-20,14.2765306122448980,16.7959183673469388,0
"545637","15514","10002",2,0.85,1.70,2011,3,"low",0E-20,14.2765306122448980,16.7959183673469388,0
"546790","14713","10002",6,0.85,5.10,2011,3,"low",0E-20,14.2765306122448980,16.7959183673469388,0
"547063","14769","10002",4,0.85,3.40,2011,3,"low",0E-20,14.2765306122448980,16.7959183673469388,0
"547223","12867","10002",5,0.85,4.25,2011,3,"low",0E-20,14.2765306122448980,16.7959183673469388,0
"547729","15529","10002",6,0.85,5.10,2011,3,"low",0E-20,14.2765306122448980,16.7959183673469388,0
"548606","12731","10002",120,0.85,102.00,2011,4,"low",0E-20,14.2765306122448980,16.7959183673469388,0
"548702","17085","10002",4,0.85,3.40,2011,4,"low",0E-20,14.2765306122448980,16.7959183673469388,0
"548714","17337","10002",2,0.85,1.70,2011,4,"low",0E-20,14.2765306122448980,16.7959183673469388,0
"550272","18079","10002",62,0.85,52.70,2011,4,"low",0E-20,14.2765306122448980,16.7959183673469388,0
"550452","14525","10002",1,0.85,0.85,2011,4,"low",0E-20,14.2765306122448980,16.7959183673469388,0
"545060","15547","10080",2,0.85,1.70,2011,2,"low",0E-20,5.4480952380952381,13.8571428571428571,0
